Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2021-11-04,17916.80078125,17947.55078125,17900.599609375,17935.05078125,48500.0,17950.75844342905,17598.253643023116,50.821030455119285,63.241150441768696,-70.86434051623746,134.10549095800616,221.34762664462406
2021-11-08,18068.55078125,18087.80078125,17836.099609375,18040.19921875,338900.0,17961.97676131676,17616.69666805162,55.294290541905795,66.80029273141918,-53.844158581269596,120.64445131268877,223.51573701822235
2021-11-09,18044.25,18112.599609375,17983.05078125,18084.349609375,270200.0,17969.81230785802,17633.46346538293,54.44032246941564,66.88901376768263,-43.00435003600492,109.89336380368755,216.80381495442074
2021-11-10,18017.19921875,18061.25,17915.0,17973.44921875,261400.0,17974.32534699059,17648.511926299285,53.45072359555969,64.03835950814027,-36.68400343643782,100.7223629445781,211.76425674339072
2021-11-11,17873.599609375,17971.349609375,17798.19921875,17967.44921875,232100.0,17964.73241959863,17657.338894263037,48.41904542058223,49.61991955968915,-40.88195470791115,90.5018742676003,212.28109554743423
2021-11-12,18102.75,18123.0,17905.900390625,17977.599609375,249100.0,17977.876951065427,17674.8059964488,55.60159542406819,56.03775509654588,-27.571295336843548,83.60905043338943,214.93247376726035
2021-11-15,18109.44921875,18210.150390625,18071.30078125,18140.94921875,280400.0,17990.407643225863,17691.850828695908,55.79539154136975,60.96177753885422,-18.11781831562817,79.07959585448239,209.49798345352747
2021-11-16,17999.19921875,18132.650390625,17958.80078125,18127.05078125,267400.0,17991.244936132924,17703.903706737245,51.78899173867563,55.330036973264214,-18.999647104974542,74.32968407823876,206.95167101934692
2021-11-17,17898.650390625,18022.650390625,17879.25,17939.349609375,295700.0,17982.42640798931,17711.540831595586,48.37722003379022,42.266173751242604,-25.65080826159692,67.91698201283953,202.41229384832215
2021-11-18,17764.80078125,17945.599609375,17688.5,17890.55078125,278400.0,17961.700157823663,17713.62945707223,44.202616269196234,20.87182576389023,-37.63612499915944,58.50795076304967,206.31853067165628
2021-11-22,17416.55078125,17805.25,17280.44921875,17796.25,356400.0,17909.781169578553,17701.97931292234,35.59597110689981,-23.90861013234462,-65.93324871631543,42.02463858397081,229.0672628558237
2021-11-23,17503.349609375,17553.69921875,17216.099609375,17281.75,308800.0,17871.07340194012,17694.18991278323,38.79473458321618,-51.79641139569139,-75.05683998372976,23.260428588038373,236.81957332147917
2021-11-24,17415.05078125,17600.599609375,17354.0,17550.05078125,298100.0,17827.64267616011,17683.243280174083,36.79276584998178,-80.09933700633701,-82.68781247550031,2.588475469163299,237.5181473253021
2021-11-25,17536.25,17564.349609375,17351.69921875,17417.30078125,255900.0,17799.89099271629,17677.478837814317,41.27253202355408,-91.69286712002213,-75.42507407134835,-16.267793048673788,235.74187898956623
2021-11-26,17026.44921875,17355.400390625,16985.69921875,17338.75,356300.0,17726.229871386167,17651.94826451768,31.242196187554516,-140.39905284020278,-99.3050078332232,-41.094045006979584,258.2282291510258
2021-11-29,17053.94921875,17160.69921875,16782.400390625,17055.80078125,348900.0,17662.203142563674,17628.4973215464,32.19940078055635,-174.76544845755052,-106.93712276045675,-67.82832569709377,266.8047005063097
2021-11-30,16983.19921875,17324.650390625,16931.400390625,17051.150390625,498000.0,17597.53610220047,17603.191513593603,31.00356154766535,-205.34293279071426,-110.01168567489638,-95.33124711581787,275.83650761300186
2021-12-01,17166.900390625,17213.05078125,17064.25,17104.400390625,295500.0,17556.52317728852,17586.082057790914,37.494580106152334,-212.30533634614767,-93.57927138426382,-118.72606496188385,272.5518686763589
2021-12-02,17401.650390625,17420.349609375,17149.30078125,17183.19921875,279900.0,17541.77338808247,17578.849443392253,44.659445582370836,-196.61428116768366,-62.310572964639846,-134.3037082030438,272.44450863697614
2021-12-03,17196.69921875,17489.80078125,17180.80078125,17424.900390625,292500.0,17508.90918147938,17563.86316007295,40.31452900539831,-198.42948206156143,-51.300619086814095,-147.12886297474734,275.0556151629064
2021-12-06,16912.25,17216.75,16891.69921875,17209.05078125,231700.0,17452.084497528962,17538.309702815186,35.19646014535171,-220.28144913441065,-58.52206892773063,-161.75938020668002,278.6266984548417
2021-12-07,17176.69921875,17251.650390625,16987.75,17044.099609375,254100.0,17425.85732812144,17524.128899518513,42.50449565243549,-213.79594207884656,-41.62924949773321,-172.16669258111335,282.96767646699584
2021-12-08,17469.75,17484.599609375,17308.94921875,17315.25,257800.0,17430.037582586065,17521.996393655045,49.32450814739661,-182.9010130657516,-8.587456387710603,-174.313556678041,284.748584621139
2021-12-09,17516.849609375,17543.25,17379.599609375,17524.400390625,237200.0,17438.3053946612,17521.7945589774,50.34399622876678,-152.8540085262539,17.167638521429694,-170.0216470476836,276.0987136214148
2021-12-10,17511.30078125,17534.349609375,17405.25,17476.05078125,204500.0,17445.257336241088,17521.383038282205,50.21582415061627,-128.013623640305,33.60641872590287,-161.62004236620788,265.59877760381374
2021-12-13,17368.25,17639.5,17355.94921875,17619.099609375,256600.0,17437.923304218126,17515.37782109467,46.90070775881205,-118.50439724943135,34.492516093421216,-152.99691334285257,266.88106357854133
2021-12-14,17324.900390625,17376.19921875,17225.80078125,17283.19921875,271000.0,17427.159217209257,17507.908117938994,45.91156289368386,-113.16175968820971,31.86812292371428,-145.029882611924,258.56087600150266
2021-12-15,17221.400390625,17351.19921875,17192.19921875,17323.650390625,215000.0,17407.56313848695,17496.672520789427,43.54995361820298,-115.94275009251578,23.269706015526566,-139.21245610804235,251.4493848585382
2021-12-16,17248.400390625,17379.349609375,17184.94921875,17373.0,219500.0,17392.404781547713,17486.936358822193,44.35408562703295,-114.64645767318507,19.65279874788581,-134.29925642107088,247.37445669899975
2021-12-17,16985.19921875,17298.150390625,16966.44921875,17276.0,354600.0,17353.6232993765,17467.260392544853,38.584037269861135,-133.32043649509797,0.7830559407783255,-134.1034924358763,253.39779349728548
2021-12-20,16614.19921875,16840.099609375,16410.19921875,16824.25,330600.0,17283.20195836445,17433.80701318035,32.221108346986526,-176.02716706502542,-33.5389397033193,-142.48822736170612,276.3693796760508
2021-12-21,16770.849609375,16936.400390625,16688.25,16773.150390625,241000.0,17234.40649655593,17407.808683619354,36.9491632801133,-194.98452119884314,-41.9970350697096,-152.98748612913354,279.6430791188329
2021-12-22,16955.44921875,16971.0,16819.5,16865.55078125,207900.0,17207.839136764887,17390.06909676173,42.07687948047313,-192.88920849088026,-31.921377889397377,-160.9678306014829,273.965029940702
2021-12-23,17072.599609375,17118.650390625,17015.55078125,17066.80078125,197000.0,17194.959181775375,17377.619312942643,45.12681688905975,-179.70408380098525,-14.989002559601886,-164.71508124138336,266.0533257931519
2021-12-24,17003.75,17155.599609375,16909.599609375,17149.5,182600.0,17176.748783511055,17362.957771258618,43.67142885327608,-172.8182246487777,-6.4825147259154505,-166.33570992286224,264.6209453793553
2021-12-27,17086.25,17112.05078125,16833.19921875,16937.75,144800.0,17168.129851748097,17352.10648611122,45.922045401611165,-158.87268571586537,5.970419365597479,-164.84310508146285,265.63741803082996
2021-12-28,17233.25,17250.25,17161.150390625,17177.599609375,176000.0,17174.33177062923,17347.445447440194,49.772915033807855,-134.4096830109811,24.346737656385415,-158.7564206673665,258.37760245719926
2021-12-29,17213.599609375,17285.94921875,17176.650390625,17220.099609375,161700.0,17178.071564795493,17342.196591045482,49.26785759335544,-115.27933104976182,34.78167169408377,-150.0610027438456,247.7291185763279
2021-12-30,17203.94921875,17264.05078125,17146.349609375,17201.44921875,320800.0,17180.53610326735,17336.77512546527,49.004863937164785,-99.74727071918096,40.25098561973169,-139.99825633891265,238.44140809766162
2021-12-31,17354.05078125,17400.80078125,17238.5,17244.5,167000.0,17197.06131069427,17337.45260216271,53.19031543402248,-74.46764273118606,52.424490886181275,-126.89213361736734,235.47070484068578
2022-01-03,17625.69921875,17646.650390625,17383.30078125,17387.150390625,200500.0,17237.88396860434,17348.75639104849,59.645545448399844,-32.14307145590283,75.7992497291716,-107.94232118507443,239.55134087885108
2022-01-04,17805.25,17827.599609375,17593.55078125,17681.400390625,247400.0,17291.91882873726,17366.65810120345,63.25271106381475,15.706647237901052,98.9191747383804,-83.21252750047935,239.158304253576
2022-01-05,17925.25,17944.69921875,17748.849609375,17820.099609375,251500.0,17352.236083143234,17388.56366586214,65.47397330024032,62.58939952235596,116.64154161826826,-54.052142095912295,236.06482604796344
2022-01-06,17745.900390625,17797.94921875,17655.55078125,17768.5,236500.0,17389.72792195102,17402.5768707548,59.66867189263426,84.3005397435445,110.68214547156543,-26.381605728020936,238.46728266953747
2022-01-07,17812.69921875,17905.0,17704.55078125,17797.599609375,239300.0,17430.010902598544,17418.66010008795,61.0537516947152,105.67868387275303,105.64823168061918,0.030452192133857636,235.7517066752848
